RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,719,483,236,5,635,518,117,5
2,720,483,237,5,635,518,117,5
3,716,482,234,5,635,518,117,5
4,720,483,237,5,635,518,117,5
5,716,482,234,5,635,518,117,5
6,720,483,237,5,635,518,117,5
7,720,483,237,5,635,518,117,5
8,716,482,234,5,635,518,117,5
9,716,482,234,5,635,518,117,5
10,716,482,234,5,635,518,117,5
11,723,483,240,5,641,518,123,5
12,719,482,237,5,641,518,123,5
13,723,483,240,5,641,518,123,5
14,723,483,240,5,641,518,123,5
15,723,483,240,5,641,518,123,5
16,720,483,237,5,641,518,123,5
17,719,482,237,5,641,518,123,5
18,722,482,240,5,641,518,123,5
19,723,483,240,5,641,518,123,5
20,720,483,237,5,641,518,123,5
21,722,482,240,5,635,517,118,5
22,722,482,240,5,635,517,118,5
23,723,483,240,5,635,517,118,5
24,722,482,240,5,635,517,118,5
25,726,483,243,5,635,517,118,5
26,722,482,240,5,635,517,118,5
27,722,482,240,5,635,517,118,5
28,722,482,240,5,635,517,118,5
29,723,483,240,5,635,517,118,5
30,725,482,243,5,635,517,118,5
31,722,482,240,5,637,517,120,5
32,721,483,238,5,637,517,120,5
33,721,483,238,5,637,517,120,5
34,721,483,238,5,637,517,120,5
35,721,483,238,5,637,517,120,5
36,721,483,238,5,637,517,120,5
37,721,483,238,5,637,517,120,5
38,721,483,238,5,637,517,120,5
39,721,483,238,5,637,517,120,5
40,721,483,238,5,637,517,120,5
41,711,482,229,5,636,517,119,5
42,718,482,236,5,636,517,119,5
43,718,482,236,5,636,517,119,5
44,714,481,233,5,636,517,119,5
45,715,482,233,5,636,517,119,5
46,718,482,236,5,636,517,119,5
47,718,482,236,5,636,517,119,5
48,718,482,236,5,636,517,119,5
49,718,482,236,5,636,517,119,5
50,718,482,236,5,636,517,119,5
