,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps
0,1,138,73,65,22.25,47,19,28,22.09,82480,35792,30656,10864,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1649600.0,715840.0,613120.0,217280.0
1,2,144,79,65,20.86,47,19,28,22.26,90608,42656,31408,10336,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1812160.0,853120.0,628160.0,206720.0
2,3,143,75,68,21.2,43,20,23,21.33,86880,37656,30368,11792,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1737600.0,753120.0,607360.0,235840.0
3,4,145,78,67,21.08,40,19,21,21.75,86888,41584,28368,11656,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1737760.0,831680.0,567360.0,233120.0
4,5,144,80,64,21.29,45,22,23,20.87,71128,37248,29280,12184,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1422560.0,744960.0,585600.0,243680.0
5,6,143,77,66,21.17,40,22,18,20.78,80624,37976,27344,12296,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1612480.0,759520.0,546880.0,245920.0
6,7,144,74,70,21.5,40,22,18,21.38,82728,37408,27656,14064,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1654560.0,748160.0,553120.0,281280.0
7,8,141,77,64,21.04,45,20,25,21.49,78096,37904,27448,12032,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1561920.0,758080.0,548960.0,240640.0
8,9,146,77,69,20.43,42,20,22,20.1,76024,34784,24400,11664,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1520480.0,695680.0,488000.0,233280.0
9,10,141,79,62,21.29,48,19,29,21.5,84512,45016,32680,12880,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1690240.0,900320.0,653600.0,257600.0
10,11,136,76,60,21.36,48,20,28,20.9,101080,54712,29224,12384,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,2021600.0,1094240.0,584480.0,247680.0
11,12,137,74,63,22.5,45,19,26,22.0,89144,47256,29896,12856,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,1782880.0,945120.0,597920.0,257120.0
12,13,141,78,63,21.92,43,18,25,22.12,101496,52488,24688,10632,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,2029920.0,1049760.0,493760.0,212640.0
13,14,142,76,66,21.42,39,20,19,20.08,104384,48856,23048,11984,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,2087680.0,977120.0,460960.0,239680.0
14,15,145,76,69,20.92,40,22,18,19.52,108136,47520,22240,12816,4,5000000,51,5,2500,5000000,7.309999999999999e-05,5000000,2162720.0,950400.0,444800.0,256320.0
