RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,83,56,27,24.16,19,14,5,26.47,134128,90888,38616,28112,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
2,84,57,27,24.07,19,14,5,26.16,140560,92888,37112,26352,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
3,81,58,23,23.84,21,13,8,26.43,132336,92624,40744,25544,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
4,78,57,21,24.15,21,13,8,26.57,127280,90360,39232,24224,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
5,81,56,25,23.79,22,12,10,26.27,137904,89704,40880,22048,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
6,85,57,28,24.41,25,14,11,26.76,147240,92360,48296,25712,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
7,89,56,33,24.21,28,12,16,26.36,153832,90464,53184,22784,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
8,88,55,33,23.86,25,11,14,25.96,154168,88336,45864,19640,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
9,93,55,38,24.05,21,11,10,26.43,161392,88576,43432,21912,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
10,92,55,37,24.28,22,11,11,26.27,162440,89792,44816,21528,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
11,96,54,42,24.26,26,12,14,26.23,164320,85408,52528,23616,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
12,97,53,44,24.26,25,13,12,26.2,167640,84816,47368,23944,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
13,97,55,42,24.36,18,12,6,26.44,166832,88712,34352,23072,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
14,95,50,45,24.02,20,12,8,26.2,152400,79400,40320,24704,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
15,93,53,40,24.61,19,13,6,26.79,154792,86688,38168,26888,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
16,92,54,38,24.3,19,13,6,26.05,150216,88400,39736,27208,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
17,91,52,39,23.92,19,13,6,25.84,141008,81824,38872,26344,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
18,96,52,44,24.06,19,13,6,25.84,151808,82800,39192,26664,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
19,91,55,36,24.65,21,13,8,26.62,153728,92808,42888,27304,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
20,88,56,32,23.89,18,13,5,25.83,142808,90256,37488,26728,7,25000000,51,5,1280,25000000,1.45e-05,10000000,1,0
