RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput (bits),DL_goodput (bits),UL_throughput (bits),UL_goodput (bits),TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,152,100,52,24.45,46,31,15,26.43,113304,69392,41024,26464,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
2,153,101,52,24.35,43,32,11,26.35,114200,69496,36512,25728,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
3,154,104,50,24.05,45,32,13,26.2,118448,70352,40104,26464,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
4,155,100,55,24.54,47,31,16,26.53,123216,70896,42600,26656,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
5,155,103,52,24.52,50,32,18,26.56,113464,68944,43096,26576,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
6,156,100,56,23.74,50,32,18,25.6,114592,62832,42560,25440,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
7,158,98,60,24.39,46,31,15,26.3,124648,65720,38888,24680,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
8,158,95,63,23.99,48,32,16,25.88,109320,59552,39360,24944,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
9,155,101,54,24.46,48,31,17,26.42,118008,69352,44792,26768,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
10,157,99,58,24.61,45,31,14,26.51,109024,62760,40512,26544,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
11,157,99,58,24.73,47,33,14,26.79,111360,64864,43368,28536,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
12,156,100,56,24.85,46,31,15,26.61,110440,64320,40896,25824,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
13,158,98,60,24.35,43,31,12,26.35,108936,63144,37024,24512,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
14,156,99,57,24.53,51,33,18,26.41,117600,65336,44944,26080,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
15,155,101,54,24.36,53,31,22,26.55,129232,71712,46840,25088,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
16,157,96,61,24.21,54,33,21,26.15,119440,63416,47456,26800,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
17,155,102,53,24.05,50,32,18,26.08,107936,64008,43488,25672,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
18,158,100,58,24.22,47,31,16,26.28,111384,60392,40976,24816,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
19,156,104,52,24.35,46,32,14,26.35,118656,70856,40048,26232,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
20,155,103,52,24.24,49,33,16,26.12,113464,66560,40264,26600,4,10000000,51,5,2000,10000000,1.6e-05,1000000,1,0
